epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
93,2153.08,1.1876,1.36917,1.37199,0.6729,0.70586,0.73765,0.41943,1.41614,1.29902,1.57003,0.000723,0.000241,0.000723,0.000241,0.000723,0.000241,0.000723,0.000241
94,2175.59,1.17483,1.36925,1.37389,0.66499,0.71784,0.73969,0.42045,1.42469,1.28699,1.5662,0.00069825,0.00023275,0.00069825,0.00023275,0.00069825,0.00023275,0.00069825,0.00023275
95,2198.17,1.1906,1.39693,1.38279,0.67707,0.71745,0.73961,0.41444,1.44311,1.29738,1.58867,0.0006735,0.0002245,0.0006735,0.0002245,0.0006735,0.0002245,0.0006735,0.0002245
96,2221.35,1.19307,1.38928,1.38398,0.65567,0.7274,0.74074,0.42292,1.42277,1.28928,1.57864,0.00064875,0.00021625,0.00064875,0.00021625,0.00064875,0.00021625,0.00064875,0.00021625
97,2244.43,1.19975,1.38782,1.38957,0.66007,0.72566,0.73725,0.41662,1.45097,1.2958,1.60507,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
98,2267.69,1.19381,1.36364,1.38283,0.65674,0.70988,0.73818,0.42197,1.42665,1.29188,1.58725,0.00059925,0.00019975,0.00059925,0.00019975,0.00059925,0.00019975,0.00059925,0.00019975
99,2291.23,1.19089,1.38207,1.3772,0.65368,0.71603,0.73482,0.41892,1.44193,1.29074,1.58786,0.0005745,0.0001915,0.0005745,0.0001915,0.0005745,0.0001915,0.0005745,0.0001915
100,2314.36,1.18667,1.34928,1.37865,0.64933,0.72521,0.73828,0.42031,1.42748,1.28979,1.57323,0.00054975,0.00018325,0.00054975,0.00018325,0.00054975,0.00018325,0.00054975,0.00018325
101,2337.65,1.18081,1.34991,1.37135,0.65531,0.72392,0.73143,0.42047,1.41875,1.28581,1.57813,0.000525,0.000175,0.000525,0.000175,0.000525,0.000175,0.000525,0.000175
102,2360.89,1.16488,1.33337,1.3553,0.66087,0.71261,0.73189,0.42201,1.41569,1.29255,1.5777,0.00050025,0.00016675,0.00050025,0.00016675,0.00050025,0.00016675,0.00050025,0.00016675
103,2383.98,1.18921,1.36193,1.3724,0.6661,0.72552,0.73841,0.42504,1.41996,1.28421,1.58074,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585
104,2407.03,1.16222,1.32772,1.35954,0.66507,0.72115,0.73486,0.42173,1.43228,1.29349,1.58135,0.00045075,0.00015025,0.00045075,0.00015025,0.00045075,0.00015025,0.00045075,0.00015025
105,2430.06,1.1593,1.32087,1.35233,0.67229,0.72537,0.73445,0.41953,1.43646,1.2795,1.58484,0.000426,0.000142,0.000426,0.000142,0.000426,0.000142,0.000426,0.000142
106,2452.85,1.18499,1.35237,1.37556,0.67321,0.72816,0.74193,0.42563,1.42373,1.27129,1.573,0.00040125,0.00013375,0.00040125,0.00013375,0.00040125,0.00013375,0.00040125,0.00013375
107,2475.3,1.17319,1.33059,1.36293,0.68443,0.73403,0.74268,0.43155,1.42261,1.27422,1.56347,0.0003765,0.0001255,0.0003765,0.0001255,0.0003765,0.0001255,0.0003765,0.0001255
108,2498.04,1.18402,1.33352,1.37071,0.70068,0.73147,0.74069,0.42755,1.42197,1.27497,1.56763,0.00035175,0.00011725,0.00035175,0.00011725,0.00035175,0.00011725,0.00035175,0.00011725
109,2520.83,1.15811,1.31655,1.35718,0.70394,0.69523,0.74221,0.43057,1.40677,1.27794,1.56805,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
110,2543.72,1.17915,1.33786,1.37277,0.69,0.73317,0.74548,0.43046,1.41685,1.27471,1.56859,0.00030225,0.00010075,0.00030225,0.00010075,0.00030225,0.00010075,0.00030225,0.00010075
111,2592.21,1.1855,1.51454,1.42122,0.70421,0.703,0.74542,0.41831,1.43767,1.30081,1.58159,0.0002775,9.25e-05,0.0002775,9.25e-05,0.0002775,9.25e-05,0.0002775,9.25e-05
112,2615.04,1.20019,1.46927,1.43726,0.71531,0.68364,0.74371,0.42082,1.41943,1.30118,1.5767,0.00025275,8.425e-05,0.00025275,8.425e-05,0.00025275,8.425e-05,0.00025275,8.425e-05
113,2637.58,1.17474,1.44137,1.40313,0.67478,0.716,0.73929,0.4177,1.42807,1.29912,1.58049,0.000228,7.6e-05,0.000228,7.6e-05,0.000228,7.6e-05,0.000228,7.6e-05
114,2660.18,1.16285,1.44719,1.40664,0.69691,0.70965,0.73867,0.419,1.42492,1.29967,1.57289,0.00020325,6.775e-05,0.00020325,6.775e-05,0.00020325,6.775e-05,0.00020325,6.775e-05
115,2682.79,1.19034,1.44172,1.41957,0.68508,0.71687,0.74112,0.42105,1.42302,1.29598,1.57583,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05
116,2705.42,1.16002,1.43326,1.40416,0.69637,0.70131,0.73954,0.41989,1.42306,1.28706,1.57765,0.00015375,5.125e-05,0.00015375,5.125e-05,0.00015375,5.125e-05,0.00015375,5.125e-05
117,2729.34,1.17398,1.43276,1.41791,0.67465,0.72404,0.73718,0.42251,1.41623,1.29463,1.5766,0.000129,4.3e-05,0.000129,4.3e-05,0.000129,4.3e-05,0.000129,4.3e-05
118,2751.53,1.16821,1.42569,1.41305,0.71594,0.68754,0.74184,0.42571,1.40869,1.28488,1.56682,0.00010425,3.475e-05,0.00010425,3.475e-05,0.00010425,3.475e-05,0.00010425,3.475e-05
119,2774.98,1.1542,1.40144,1.39462,0.70123,0.69927,0.73916,0.42196,1.42215,1.28712,1.5761,7.95e-05,2.65e-05,7.95e-05,2.65e-05,7.95e-05,2.65e-05,7.95e-05,2.65e-05
120,2797.91,1.15743,1.41539,1.39176,0.70333,0.68931,0.73981,0.42306,1.42062,1.2857,1.57686,5.475e-05,1.825e-05,5.475e-05,1.825e-05,5.475e-05,1.825e-05,5.475e-05,1.825e-05
